trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25820737,2019-12-04 12:41:39,2019-12-04 12:46:21,5464,281.0,81,Daley Center Plaza,287,Franklin St & Monroe St,Subscriber,Male,1959.0
25818823,2019-12-04 08:18:11,2019-12-04 08:46:55,6370,"1,724.0",664,Leavitt St & Belmont Ave (*),38,Clark St & Lake St,Subscriber,Male,1985.0
25827599,2019-12-05 08:20:23,2019-12-05 08:35:41,2859,918.0,176,Clark St & Elm St,96,Desplaines St & Randolph St,Subscriber,Male,1989.0
25827324,2019-12-05 08:06:43,2019-12-05 08:12:00,232,316.0,77,Clinton St & Madison St,56,Desplaines St & Kinzie St,Subscriber,Male,1989.0
25832619,2019-12-05 17:31:53,2019-12-05 17:43:41,4871,707.0,227,Southport Ave & Waveland Ave,13,Wilton Ave & Diversey Pkwy,Subscriber,Male,1991.0
25832926,2019-12-05 17:47:43,2019-12-05 18:18:05,2879,"1,821.0",300,Broadway & Barry Ave,117,Wilton Ave & Belmont Ave,Subscriber,Male,1987.0
25833379,2019-12-05 18:13:54,2019-12-05 18:20:26,2977,392.0,212,Wells St & Hubbard St,24,Fairbanks Ct & Grand Ave,Subscriber,Male,1987.0
25830025,2019-12-05 13:40:16,2019-12-05 14:11:11,5133,"1,854.0",90,Millennium Park,272,Indiana Ave & 31st St,Subscriber,Male,1985.0
25828791,2019-12-05 09:59:42,2019-12-05 10:02:43,704,181.0,41,Federal St & Polk St,37,Dearborn St & Adams St,Subscriber,Male,1986.0
25831835,2019-12-05 16:57:34,2019-12-05 17:11:31,6142,836.0,133,Kingsbury St & Kinzie St,61,Wood St & Milwaukee Ave,Subscriber,Male,1990.0
25832393,2019-12-05 17:22:17,2019-12-05 17:32:13,3319,595.0,171,May St & Cullerton St,208,Ashland Ave & 21st St,Subscriber,Male,1996.0
25828840,2019-12-05 10:06:44,2019-12-05 10:08:55,2865,131.0,24,Fairbanks Ct & Grand Ave,142,McClurg Ct & Erie St,Subscriber,Male,1973.0
25827629,2019-12-05 08:21:53,2019-12-05 08:25:45,476,231.0,501,Richmond St & Diversey Ave,260,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1989.0
25831906,2019-12-05 17:00:59,2019-12-05 17:08:03,123,424.0,194,Wabash Ave & Wacker Pl,672,Franklin St & Illinois St,Subscriber,Male,1989.0
25837319,2019-12-06 08:56:48,2019-12-06 09:03:16,6913,388.0,74,Kingsbury St & Erie St,96,Desplaines St & Randolph St,Subscriber,Male,1961.0
25835632,2019-12-06 06:44:56,2019-12-06 06:50:52,3406,355.0,92,Carpenter St & Huron St,66,Clinton St & Lake St,Subscriber,Male,1993.0
25835770,2019-12-06 07:04:29,2019-12-06 07:17:37,4223,788.0,461,Broadway & Ridge Ave,234,Clark St & Montrose Ave,Subscriber,Male,1981.0
25842030,2019-12-06 19:03:39,2019-12-06 19:09:24,2387,345.0,656,Damen Ave & Walnut (Lake) St (*),659,Leavitt St & Chicago Ave,Subscriber,Male,1988.0
25835953,2019-12-06 07:23:34,2019-12-06 07:26:36,4490,181.0,153,Southport Ave & Wellington Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1993.0
25837901,2019-12-06 10:31:56,2019-12-06 10:39:50,5657,473.0,32,Racine Ave & Congress Pkwy,638,Clinton St & Jackson Blvd,Subscriber,Male,1979.0
25838942,2019-12-06 13:53:04,2019-12-06 14:11:54,6695,"1,130.0",140,Dearborn Pkwy & Delaware Pl,80,Aberdeen St & Monroe St,Subscriber,Female,1984.0
25835311,2019-12-06 04:22:48,2019-12-06 04:25:16,736,147.0,241,Morgan St & Polk St,22,May St & Taylor St,Subscriber,Male,2000.0
25840435,2019-12-06 16:47:00,2019-12-06 16:58:43,3759,703.0,461,Broadway & Ridge Ave,326,Clark St & Leland Ave,Subscriber,Female,1979.0
25839818,2019-12-06 16:03:00,2019-12-06 16:08:39,339,339.0,52,Michigan Ave & Lake St,110,Dearborn St & Erie St,Subscriber,Male,1986.0
25844494,2019-12-07 12:43:05,2019-12-07 13:14:59,5538,"1,913.0",76,Lake Shore Dr & Monroe St,85,Michigan Ave & Oak St,Customer,,
25844016,2019-12-07 11:26:27,2019-12-07 11:31:44,4636,316.0,364,Larrabee St & Oak St,331,Halsted St & Clybourn Ave,Subscriber,Female,1993.0
25845856,2019-12-07 16:20:07,2019-12-07 16:53:51,3313,"2,024.0",76,Lake Shore Dr & Monroe St,35,Streeter Dr & Grand Ave,Customer,,
25843899,2019-12-07 11:05:26,2019-12-07 11:14:13,2976,527.0,196,Cityfront Plaza Dr & Pioneer Ct,133,Kingsbury St & Kinzie St,Subscriber,Male,1988.0
25846312,2019-12-07 17:46:59,2019-12-07 17:57:23,1864,624.0,332,Burling St (Halsted) & Diversey Pkwy (Temp),229,Southport Ave & Roscoe St,Subscriber,Male,1996.0
25846694,2019-12-07 19:44:04,2019-12-07 19:52:07,1894,482.0,145,Mies van der Rohe Way & Chestnut St,145,Mies van der Rohe Way & Chestnut St,Subscriber,Male,1989.0
25847762,2019-12-08 09:59:56,2019-12-08 10:16:41,976,"1,004.0",128,Damen Ave & Chicago Ave,163,Damen Ave & Clybourn Ave,Subscriber,Male,1990.0
25849536,2019-12-08 15:15:51,2019-12-08 15:18:30,3795,158.0,624,Dearborn St & Van Buren St,49,Dearborn St & Monroe St,Subscriber,Male,1995.0
25851167,2019-12-08 21:34:07,2019-12-08 21:39:16,6357,308.0,188,Greenview Ave & Fullerton Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1974.0
25850220,2019-12-08 17:06:39,2019-12-08 17:15:24,2459,524.0,49,Dearborn St & Monroe St,199,Wabash Ave & Grand Ave,Customer,,
25849414,2019-12-08 14:58:40,2019-12-08 15:09:56,5062,675.0,247,Shore Dr & 55th St,420,Ellis Ave & 55th St,Subscriber,Male,1956.0
25853760,2019-12-09 09:18:35,2019-12-09 09:25:38,3849,422.0,53,Wells St & Huron St,44,State St & Randolph St,Subscriber,Male,1983.0
25854194,2019-12-09 11:25:14,2019-12-09 11:42:54,4415,"1,060.0",56,Desplaines St & Kinzie St,61,Wood St & Milwaukee Ave,Subscriber,Male,1991.0
25858641,2019-12-09 21:56:25,2019-12-09 22:06:16,4959,591.0,26,McClurg Ct & Illinois St,199,Wabash Ave & Grand Ave,Subscriber,Female,1979.0
25858460,2019-12-09 20:32:48,2019-12-09 20:45:30,1237,761.0,181,LaSalle St & Illinois St,39,Wabash Ave & Adams St,Customer,,
25858492,2019-12-09 20:45:50,2019-12-09 21:02:30,4393,"1,000.0",223,Clifton Ave & Armitage Ave,71,Morgan St & Lake St,Subscriber,Male,1989.0
25857257,2019-12-09 17:51:54,2019-12-09 17:58:04,1677,369.0,229,Southport Ave & Roscoe St,347,Ashland Ave & Grace St,Subscriber,Female,1994.0
